Week Of,Mon,Tue,Wed,Thu,Fri
2011 Oct 17 to Oct 21,3.72,3.63,3.59,3.61,3.54
2011 Oct 24 to Oct 28,3.61,3.62,3.65,3.59,3.63
2011 Oct 31 to Nov 4,3.66,3.49,3.39,3.39,3.44
2011 Nov 7 to Nov 11,3.35,3.42,3.55,3.48,3.29
2011 Nov 14 to Nov 18,3.17,3.12,3.11,3.11,3.01
,,,,,
2011 Nov 21 to Nov 25,2.94,3.06,2.84,,2.84
2011 Nov 28 to Dec 2,3.09,3.39,3.53,3.49,3.35
2011 Dec 5 to Dec 9,3.38,3.43,3.45,3.42,3.29
2011 Dec 12 to Dec 16,3.13,3.12,3.08,3.05,3.01
2011 Dec 19 to Dec 23,3.03,3.06,3.05,3.08,2.97
,,,,,
2011 Dec 26 to Dec 30,,3.09,3.07,3.03,2.98
2012 Jan 2 to Jan 6,,2.97,2.96,2.91,2.85
2012 Jan 9 to Jan 13,2.89,2.97,2.81,2.70,2.67
2012 Jan 16 to Jan 20,,2.51,2.49,2.36,2.23
2012 Jan 23 to Jan 27,2.39,2.60,2.61,2.68,2.59
,,,,,
2012 Jan 30 to Feb 3,2.71,2.51,2.32,2.30,2.40
2012 Feb 6 to Feb 10,2.46,2.60,2.48,2.50,2.51
2012 Feb 13 to Feb 17,2.42,2.48,2.54,2.47,2.67
2012 Feb 20 to Feb 24,,2.63,2.60,2.68,2.60
2012 Feb 27 to Mar 2,2.55,2.44,2.44,2.45,2.38
,,,,,
2012 Mar 5 to Mar 9,2.31,2.30,2.24,2.24,2.21
2012 Mar 12 to Mar 16,2.17,2.15,2.13,2.07,2.01
2012 Mar 19 to Mar 23,2.14,2.19,2.21,2.19,2.07
2012 Mar 26 to Mar 30,2.16,2.09,2.05,2.02,2.00
2012 Apr 2 to Apr 6,1.88,1.94,2.06,1.98,
,,,,,
2012 Apr 9 to Apr 13,1.99,1.99,1.91,1.87,1.87
2012 Apr 16 to Apr 20,1.88,1.89,1.87,1.85,1.82
2012 Apr 23 to Apr 27,1.89,1.97,1.99,2.10,2.05
2012 Apr 30 to May 4,2.10,2.29,2.31,2.29,2.30
2012 May 7 to May 11,2.30,2.27,2.36,2.36,2.37
,,,,,
2012 May 14 to May 18,2.41,2.38,2.50,2.60,2.56
2012 May 21 to May 25,2.60,2.55,2.60,2.66,2.56
2012 May 28 to Jun 1,,2.50,2.39,2.34,2.24
2012 Jun 4 to Jun 8,2.32,2.39,2.41,2.33,2.22
2012 Jun 11 to Jun 15,2.22,2.17,2.18,2.20,2.44
,,,,,
2012 Jun 18 to Jun 22,2.45,2.59,2.60,2.48,2.50
2012 Jun 25 to Jun 29,2.70,2.70,2.87,2.81,2.74
2012 Jul 2 to Jul 6,2.73,2.78,,2.90,2.94
2012 Jul 9 to Jul 13,2.79,2.87,2.72,2.83,2.88
2012 Jul 16 to Jul 20,2.92,2.83,2.84,2.99,3.03
,,,,,
2012 Jul 23 to Jul 27,3.05,3.16,3.19,3.13,3.10
2012 Jul 30 to Aug 3,3.14,3.20,3.20,3.16,2.91
2012 Aug 6 to Aug 10,2.90,2.99,2.97,2.89,2.84
2012 Aug 13 to Aug 17,2.77,2.79,2.82,2.78,2.70
2012 Aug 20 to Aug 24,2.75,2.80,2.80,2.81,2.81
,,,,,
2012 Aug 27 to Aug 31,2.80,2.71,2.64,2.72,2.72
2012 Sep 3 to Sep 7,,2.81,2.87,2.85,2.73
2012 Sep 10 to Sep 14,2.66,2.82,2.96,3.01,2.94
2012 Sep 17 to Sep 21,2.83,2.74,2.70,2.76,2.76
2012 Sep 24 to Sep 28,2.82,2.84,2.92,3.01,3.08
,,,,,
2012 Oct 1 to Oct 5,3.19,3.21,3.21,3.23,3.26
2012 Oct 8 to Oct 12,3.18,3.18,3.26,3.28,3.38
2012 Oct 15 to Oct 19,3.35,3.27,3.24,3.28,3.43
2012 Oct 22 to Oct 26,3.49,3.34,3.43,3.39,3.38
2012 Oct 29 to Nov 2,3.40,3.42,3.50,3.50,3.40
,,,,,
2012 Nov 5 to Nov 9,3.34,3.41,3.47,3.45,3.33
2012 Nov 12 to Nov 16,3.40,3.57,3.66,3.63,3.46
2012 Nov 19 to Nov 23,3.63,3.62,3.59,,3.59
2012 Nov 26 to Nov 30,3.75,3.77,3.71,3.61,3.46
2012 Dec 3 to Dec 7,3.44,3.38,3.41,3.48,3.33
,,,,,
2012 Dec 10 to Dec 14,3.35,3.39,3.33,3.27,3.15
2012 Dec 17 to Dec 21,3.20,3.29,3.25,3.35,3.42
2012 Dec 24 to Dec 28,3.30,,3.35,3.31,3.40
2012 Dec 31 to Jan 4,3.43,,3.30,3.19,3.20
2013 Jan 7 to Jan 11,3.30,3.21,3.14,3.08,3.18
,,,,,
2013 Jan 14 to Jan 18,3.39,3.40,3.43,3.44,3.54
2013 Jan 21 to Jan 25,,3.63,3.53,3.56,3.42
2013 Jan 28 to Feb 1,3.25,3.14,3.24,3.33,3.34
2013 Feb 4 to Feb 8,3.27,3.34,3.41,3.39,3.26
2013 Feb 11 to Feb 15,3.20,3.30,3.29,3.30,3.19
,,,,,
2013 Feb 18 to Feb 22,,3.23,3.34,3.29,3.27
2013 Feb 25 to Mar 1,3.42,3.46,3.49,3.48,3.54
2013 Mar 4 to Mar 8,3.53,3.63,3.57,3.54,3.57
2013 Mar 11 to Mar 15,3.64,3.71,3.72,3.74,3.89
2013 Mar 18 to Mar 22,3.98,3.96,3.97,4.01,4.01
,,,,,
2013 Mar 25 to Mar 29,4.08,3.99,4.08,4.03,
2013 Apr 1 to Apr 5,3.97,4.07,4.00,3.94,3.98
2013 Apr 8 to Apr 12,4.18,4.08,4.07,4.11,4.21
2013 Apr 15 to Apr 19,4.23,4.19,4.24,4.23,4.38
2013 Apr 22 to Apr 26,4.33,4.27,4.25,4.19,4.16
,,,,,
2013 Apr 29 to May 3,4.28,4.30,4.31,4.28,3.98
2013 May 6 to May 10,3.93,3.88,3.86,3.87,3.90
2013 May 13 to May 17,3.87,3.93,4.03,4.01,3.89
2013 May 20 to May 24,4.10,4.13,4.16,4.15,4.15
2013 May 27 to May 31,,4.19,4.15,4.12,4.02
,,,,,
2013 Jun 3 to Jun 7,4.00,4.00,3.99,3.93,3.79
2013 Jun 10 to Jun 14,3.85,3.77,3.74,3.73,3.76
2013 Jun 17 to Jun 21,3.78,3.90,3.93,3.90,3.85
2013 Jun 24 to Jun 28,3.81,3.77,3.72,3.73,3.57
2013 Jul 1 to Jul 5,3.52,3.58,3.54,,3.52
,,,,,
2013 Jul 8 to Jul 12,3.65,3.69,3.69,3.64,3.61
2013 Jul 15 to Jul 19,3.67,3.69,3.67,3.66,3.78
2013 Jul 22 to Jul 26,3.71,3.68,3.70,3.68,3.59
2013 Jul 29 to Aug 2,3.49,3.48,3.46,3.44,3.39
2013 Aug 5 to Aug 9,3.33,3.35,3.32,3.27,3.32
,,,,,
2013 Aug 12 to Aug 16,3.34,3.34,3.36,3.34,3.35
2013 Aug 19 to Aug 23,3.46,3.48,3.51,3.52,3.50
2013 Aug 26 to Aug 30,3.55,3.50,3.54,3.58,3.57
2013 Sep 2 to Sep 6,,3.64,3.68,3.70,3.55
2013 Sep 9 to Sep 13,3.62,3.65,3.60,3.57,3.60
,,,,,
2013 Sep 16 to Sep 20,3.64,3.77,3.72,3.73,3.68
2013 Sep 23 to Sep 27,3.66,3.59,3.52,3.49,3.51
2013 Sep 30 to Oct 4,3.48,3.56,3.63,3.58,3.57
2013 Oct 7 to Oct 11,3.62,3.72,3.70,3.74,3.74
2013 Oct 14 to Oct 18,3.82,3.83,3.84,3.75,3.72
,,,,,
2013 Oct 21 to Oct 25,3.77,3.70,3.66,3.65,3.69
2013 Oct 28 to Nov 1,3.61,3.57,3.55,3.57,3.45
2013 Nov 4 to Nov 8,3.38,3.37,3.46,3.59,3.54
2013 Nov 11 to Nov 15,3.62,3.69,3.69,3.52,3.56
2013 Nov 18 to Nov 22,3.71,3.63,3.63,3.68,3.78
,,,,,
2013 Nov 25 to Nov 29,3.85,3.87,3.87,,3.87
2013 Dec 2 to Dec 6,3.85,3.84,3.89,3.97,4.15
2013 Dec 9 to Dec 13,4.24,4.24,4.24,4.40,4.44
2013 Dec 16 to Dec 20,4.21,4.20,4.25,4.25,4.35
2013 Dec 23 to Dec 27,4.52,4.52,,4.40,4.34
,,,,,
2013 Dec 30 to Jan 3,4.41,4.31,,4.32,4.39
2014 Jan 6 to Jan 10,4.50,4.58,4.36,4.15,3.95
2014 Jan 13 to Jan 17,4.19,4.36,4.45,4.55,4.39
2014 Jan 20 to Jan 24,,4.61,4.92,5.64,5.17
2014 Jan 27 to Jan 31,5.66,5.25,5.23,5.27,5.04
,,,,,
2014 Feb 3 to Feb 7,5.04,5.78,8.12,6.90,5.92
2014 Feb 10 to Feb 14,8.15,7.75,5.96,5.34,5.54
2014 Feb 17 to Feb 21,,5.80,6.00,5.96,6.24
2014 Feb 24 to Feb 28,6.08,5.21,4.81,4.61,4.80
2014 Mar 3 to Mar 7,7.09,7.98,6.46,4.89,4.78
,,,,,
2014 Mar 10 to Mar 14,4.67,4.67,4.72,4.41,4.40
2014 Mar 17 to Mar 21,4.57,4.42,4.43,4.39,4.33
2014 Mar 24 to Mar 28,4.42,4.53,4.44,4.39,4.50
2014 Mar 31 to Apr 4,4.48,4.39,4.39,4.51,4.49
2014 Apr 7 to Apr 11,4.58,4.57,4.67,4.67,4.67
,,,,,
2014 Apr 14 to Apr 18,4.64,4.69,4.64,4.64,
2014 Apr 21 to Apr 25,4.76,4.76,4.81,4.81,4.83
2014 Apr 28 to May 2,4.72,4.78,4.79,4.79,4.73
2014 May 5 to May 9,4.73,4.80,4.82,4.77,4.59
2014 May 12 to May 16,4.52,4.47,4.47,4.42,4.42
,,,,,
2014 May 19 to May 23,4.54,4.53,4.57,4.57,4.40
2014 May 26 to May 30,,4.40,4.56,4.63,4.49
2014 Jun 2 to Jun 6,4.49,4.62,4.62,4.66,4.66
2014 Jun 9 to Jun 13,4.67,4.67,4.51,4.51,4.70
2014 Jun 16 to Jun 20,4.71,4.68,4.68,4.67,4.53
,,,,,
2014 Jun 23 to Jun 27,4.53,4.49,4.58,4.58,4.39
2014 Jun 30 to Jul 4,4.39,4.47,4.47,4.31,
2014 Jul 7 to Jul 11,4.31,4.18,4.17,4.15,4.13
2014 Jul 14 to Jul 18,4.13,4.13,4.16,4.04,4.08
2014 Jul 21 to Jul 25,3.87,3.81,3.83,3.83,3.86
,,,,,
2014 Jul 28 to Aug 1,3.84,3.79,3.78,3.78,3.77
2014 Aug 4 to Aug 8,3.87,3.87,3.92,3.99,3.94
2014 Aug 11 to Aug 15,4.00,3.94,3.90,3.85,3.80
2014 Aug 18 to Aug 22,3.78,3.84,3.88,3.88,3.88
2014 Aug 25 to Aug 29,3.94,3.99,4.02,4.06,4.04
,,,,,
2014 Sep 1 to Sep 5,,4.01,3.94,3.91,3.86
2014 Sep 8 to Sep 12,3.86,3.93,3.98,3.94,3.82
2014 Sep 15 to Sep 19,3.92,3.85,3.97,3.99,3.99
2014 Sep 22 to Sep 26,3.88,3.90,3.84,3.89,3.89
2014 Sep 29 to Oct 3,3.89,4.14,4.14,4.00,3.94
,,,,,
2014 Oct 6 to Oct 10,3.89,3.88,3.88,3.87,3.86
2014 Oct 13 to Oct 17,3.87,3.91,3.81,3.80,3.73
2014 Oct 20 to Oct 24,3.69,3.62,3.69,3.60,3.53
2014 Oct 27 to Oct 31,3.56,3.53,3.60,3.76,3.82
2014 Nov 3 to Nov 7,3.82,3.67,3.83,3.92,3.92
,,,,,
2014 Nov 10 to Nov 14,4.18,4.18,4.20,4.20,4.05
2014 Nov 17 to Nov 21,4.26,4.33,4.41,4.41,4.32
2014 Nov 24 to Nov 28,4.09,4.09,4.15,,4.30
2014 Dec 1 to Dec 5,4.30,3.77,3.63,3.63,3.42
2014 Dec 8 to Dec 12,3.42,3.63,3.65,3.68,3.91
,,,,,
2014 Dec 15 to Dec 19,3.72,3.58,3.72,3.71,3.71
2014 Dec 22 to Dec 26,3.05,2.99,2.99,,2.74
2014 Dec 29 to Jan 2,3.07,3.14,3.14,,3.01
2015 Jan 5 to Jan 9,3.22,2.98,3.08,2.92,2.96
2015 Jan 12 to Jan 16,2.90,2.92,3.15,3.32,3.11
,,,,,
2015 Jan 19 to Jan 23,,2.94,2.94,2.95,2.96
2015 Jan 26 to Jan 30,2.92,2.96,2.89,2.88,2.88
2015 Feb 2 to Feb 6,2.88,2.67,2.73,2.66,2.66
2015 Feb 9 to Feb 13,2.62,2.67,2.86,2.86,2.75
2015 Feb 16 to Feb 20,,2.75,2.92,2.92,3.02
,,,,,
2015 Feb 23 to Feb 27,3.22,3.22,3.21,3.21,2.79
2015 Mar 2 to Mar 6,2.79,3.00,3.27,3.27,2.89
2015 Mar 9 to Mar 13,2.75,2.76,2.76,2.82,2.72
2015 Mar 16 to Mar 20,2.68,2.82,2.80,2.86,2.86
2015 Mar 23 to Mar 27,2.72,2.79,2.77,2.77,2.89
,,,,,
2015 Mar 30 to Apr 3,2.64,2.65,2.62,2.63,
2015 Apr 6 to Apr 10,2.63,2.71,2.71,2.72,2.58
2015 Apr 13 to Apr 17,2.58,2.58,2.62,2.61,2.67
2015 Apr 20 to Apr 24,2.57,2.59,2.63,2.59,2.59
2015 Apr 27 to May 1,2.50,2.55,2.55,2.56,2.68
,,,,,
2015 May 4 to May 8,2.72,2.76,2.76,2.74,2.78
2015 May 11 to May 15,2.85,2.85,2.85,2.87,2.96
2015 May 18 to May 22,3.01,3.01,3.04,2.96,2.96
2015 May 25 to May 29,,2.82,2.82,2.78,2.78
2015 Jun 1 to Jun 5,2.78,2.63,2.65,2.60,2.60
,,,,,
2015 Jun 8 to Jun 12,2.60,2.72,2.81,2.88,2.88
2015 Jun 15 to Jun 19,2.89,2.94,2.93,2.93,2.81
2015 Jun 22 to Jun 26,2.79,2.83,2.83,2.80,2.77
2015 Jun 29 to Jul 3,2.77,2.80,2.78,2.79,2.79
2015 Jul 6 to Jul 10,2.79,2.77,2.77,2.70,2.70
,,,,,
2015 Jul 13 to Jul 17,2.88,2.88,2.93,2.90,2.88
2015 Jul 20 to Jul 24,2.88,2.84,2.84,2.92,2.92
2015 Jul 27 to Jul 31,2.92,2.89,2.91,2.87,2.76
2015 Aug 3 to Aug 7,2.76,2.83,2.85,2.76,2.76
2015 Aug 10 to Aug 14,2.85,2.84,2.93,2.93,2.83
,,,,,
2015 Aug 17 to Aug 21,2.79,2.71,2.77,2.77,2.70
2015 Aug 24 to Aug 28,2.65,2.71,2.73,2.69,2.69
2015 Aug 31 to Sep 4,2.70,2.70,2.70,2.67,2.67
2015 Sep 7 to Sep 11,2.67,2.74,2.74,2.71,2.67
2015 Sep 14 to Sep 18,2.70,2.74,2.69,2.69,2.69
,,,,,
2015 Sep 21 to Sep 25,2.61,2.61,2.62,2.62,2.60
2015 Sep 28 to Oct 2,2.66,2.57,2.47,2.37,2.37
2015 Oct 5 to Oct 9,2.34,2.35,2.35,2.35,2.49
2015 Oct 12 to Oct 16,2.48,2.47,2.47,2.54,2.42
2015 Oct 19 to Oct 23,2.43,2.46,2.37,2.37,2.28
,,,,,
2015 Oct 26 to Oct 30,2.18,2.14,2.14,2.15,1.98
2015 Nov 2 to Nov 6,1.92,1.92,2.04,2.04,2.19
2015 Nov 9 to Nov 13,2.19,2.14,2.13,2.05,2.02
2015 Nov 16 to Nov 20,2.02,2.05,2.10,2.10,2.18
2015 Nov 23 to Nov 27,2.18,2.14,2.14,2.14,2.14
,,,,,
2015 Nov 30 to Dec 4,2.11,2.11,2.19,2.14,2.10
2015 Dec 7 to Dec 11,2.06,2.01,2.00,1.95,1.79
2015 Dec 14 to Dec 18,1.70,1.66,1.70,1.79,1.74
2015 Dec 21 to Dec 25,1.76,1.73,1.63,1.63,1.63
2015 Dec 28 to Jan 1,2.11,2.39,2.28,2.28,2.28
,,,,,
2016 Jan 4 to Jan 8,2.39,2.33,2.37,2.35,2.47
2016 Jan 11 to Jan 15,2.54,2.40,2.28,2.21,2.18
2016 Jan 18 to Jan 22,2.18,2.23,2.18,2.22,2.21
2016 Jan 25 to Jan 29,2.16,2.26,2.26,2.15,2.28
2016 Feb 1 to Feb 5,2.28,2.07,2.06,2.07,2.08
,,,,,
2016 Feb 8 to Feb 12,2.23,2.17,2.16,2.15,2.08
2016 Feb 15 to Feb 19,2.08,1.95,1.93,1.89,1.83
2016 Feb 22 to Feb 26,1.86,1.85,1.85,1.78,1.78
2016 Feb 29 to Mar 4,1.62,1.57,1.60,1.59,1.49
2016 Mar 7 to Mar 11,1.56,1.60,1.61,1.72,1.74
,,,,,
2016 Mar 14 to Mar 18,1.68,1.81,1.77,1.84,1.84
2016 Mar 21 to Mar 25,1.79,1.79,1.79,1.78,1.78
2016 Mar 28 to Apr 1,1.78,1.77,1.87,1.98,1.88
2016 Apr 4 to Apr 8,1.96,1.96,1.91,1.96,1.99
2016 Apr 11 to Apr 15,1.90,1.97,2.01,1.93,1.71
,,,,,
2016 Apr 18 to Apr 22,1.76,1.94,1.94,1.96,1.92
2016 Apr 25 to Apr 29,1.97,1.97,1.88,1.88,1.89
2016 May 2 to May 6,1.91,1.94,2.03,2.05,1.86
2016 May 9 to May 13,2.01,2.01,2.01,2.01,1.96
2016 May 16 to May 20,1.91,1.97,1.91,1.83,1.81
,,,,,
2016 May 23 to May 27,1.96,1.91,1.77,1.77,1.77
2016 May 30 to Jun 3,1.77,2.12,2.25,2.30,2.31
2016 Jun 6 to Jun 10,2.32,2.32,2.36,2.34,2.46
2016 Jun 13 to Jun 17,2.55,2.55,2.62,2.62,2.59
2016 Jun 20 to Jun 24,2.74,2.79,2.82,2.69,2.71
,,,,,
2016 Jun 27 to Jul 1,2.79,2.89,2.94,2.94,2.89
2016 Jul 4 to Jul 8,2.89,2.82,2.82,2.78,2.80
2016 Jul 11 to Jul 15,2.88,2.88,2.81,2.79,2.70
2016 Jul 18 to Jul 22,2.83,2.83,2.76,2.76,2.80
2016 Jul 25 to Jul 29,2.80,2.84,2.84,2.79,2.97
,,,,,
2016 Aug 1 to Aug 5,2.97,2.79,2.89,2.89,2.88
2016 Aug 8 to Aug 12,2.85,2.85,2.76,2.70,2.70
2016 Aug 15 to Aug 19,2.75,2.75,2.76,2.75,2.67
2016 Aug 22 to Aug 26,2.75,2.75,2.82,2.89,2.91
2016 Aug 29 to Sep 2,2.97,2.95,2.95,2.95,2.88
,,,,,
2016 Sep 5 to Sep 9,2.88,2.88,2.77,2.88,2.93
2016 Sep 12 to Sep 16,3.04,3.04,3.07,2.98,2.97
2016 Sep 19 to Sep 23,3.00,3.12,3.19,3.18,3.06
2016 Sep 26 to Sep 30,3.06,3.09,3.07,2.98,2.84
2016 Oct 3 to Oct 7,2.84,2.83,2.83,3.04,3.02
,,,,,
2016 Oct 10 to Oct 14,3.18,3.17,3.17,3.16,3.18
2016 Oct 17 to Oct 21,3.21,3.25,3.18,3.12,2.92
2016 Oct 24 to Oct 28,2.78,2.69,2.69,2.72,2.72
2016 Oct 31 to Nov 4,2.85,2.53,2.53,2.41,2.20
2016 Nov 7 to Nov 11,2.37,2.34,2.22,2.08,2.08
,,,,,
2016 Nov 14 to Nov 18,2.26,2.49,2.49,2.37,2.60
2016 Nov 21 to Nov 25,2.81,2.73,2.76,2.76,2.76
2016 Nov 28 to Dec 2,2.96,3.02,3.32,3.32,3.44
2016 Dec 5 to Dec 9,3.44,3.75,3.80,3.68,3.75
2016 Dec 12 to Dec 16,3.60,3.65,3.55,3.56,3.51
,,,,,
2016 Dec 19 to Dec 23,3.55,3.39,3.50,3.50,3.60
2016 Dec 26 to Dec 30,3.60,3.70,3.70,3.71,3.71
2017 Jan 2 to Jan 6,3.71,3.41,3.42,3.42,3.38
2017 Jan 9 to Jan 13,3.14,3.21,3.27,3.36,3.36
2017 Jan 16 to Jan 20,3.36,3.37,3.26,3.25,3.23
,,,,,
2017 Jan 23 to Jan 27,3.16,3.16,3.26,3.44,3.31
2017 Jan 30 to Feb 3,3.22,3.00,3.15,3.13,3.13
2017 Feb 6 to Feb 10,2.92,3.03,3.05,3.11,3.11
2017 Feb 13 to Feb 17,2.93,2.85,2.95,2.88,2.75
2017 Feb 20 to Feb 24,2.75,2.56,2.52,2.63,2.63
,,,,,
2017 Feb 27 to Mar 3,2.44,2.54,2.54,2.59,2.50
2017 Mar 6 to Mar 10,2.68,2.68,2.59,2.83,2.98
2017 Mar 13 to Mar 17,3.04,3.02,3.02,2.84,2.85
2017 Mar 20 to Mar 24,2.93,3.09,3.02,2.93,2.97
2017 Mar 27 to Mar 31,2.94,2.95,3.03,3.08,3.13
,,,,,
2017 Apr 3 to Apr 7,3.13,3.06,3.22,3.23,3.23
2017 Apr 10 to Apr 14,3.15,3.11,2.97,3.00,3.00
2017 Apr 17 to Apr 21,3.09,3.11,3.11,3.13,3.06
2017 Apr 24 to Apr 28,3.06,2.99,3.06,3.13,3.20
2017 May 1 to May 5,3.20,3.13,3.14,3.11,3.10
,,,,,
2017 May 8 to May 12,3.06,3.03,3.03,3.23,3.24
2017 May 15 to May 19,3.26,3.27,3.27,3.13,3.11
2017 May 22 to May 26,3.24,3.22,3.22,3.10,3.10
2017 May 29 to Jun 2,3.10,3.10,3.05,3.05,2.85
2017 Jun 5 to Jun 9,2.92,2.92,3.06,2.98,3.03
,,,,,
2017 Jun 12 to Jun 16,3.12,3.12,2.95,2.94,3.01
2017 Jun 19 to Jun 23,2.87,2.91,2.91,2.88,2.89
2017 Jun 26 to Jun 30,2.98,2.99,3.03,3.07,2.98
2017 Jul 3 to Jul 7,2.98,2.98,2.98,2.89,2.91
2017 Jul 10 to Jul 14,2.92,2.98,3.01,2.96,2.94
,,,,,
2017 Jul 17 to Jul 21,3.04,3.11,3.11,3.12,3.06
2017 Jul 24 to Jul 28,2.99,2.99,2.92,2.95,2.96
2017 Jul 31 to Aug 4,2.87,2.80,2.80,2.76,2.76
2017 Aug 7 to Aug 11,2.80,2.81,2.81,2.89,2.96
2017 Aug 14 to Aug 18,3.02,2.96,2.94,2.91,2.90
,,,,,
2017 Aug 21 to Aug 25,3.00,3.00,2.94,2.97,2.93
2017 Aug 28 to Sep 1,2.95,2.95,2.95,2.92,2.88
2017 Sep 4 to Sep 8,2.88,2.88,2.98,2.92,2.88
2017 Sep 11 to Sep 15,2.88,2.88,3.02,3.03,3.00
2017 Sep 18 to Sep 22,3.11,3.18,3.13,3.11,2.93
,,,,,
2017 Sep 25 to Sep 29,2.96,2.96,2.98,2.96,2.94
2017 Oct 2 to Oct 6,2.94,2.73,2.80,2.80,2.93
2017 Oct 9 to Oct 13,2.87,2.89,2.89,2.95,2.99
2017 Oct 16 to Oct 20,2.87,2.88,2.81,2.83,2.80
2017 Oct 23 to Oct 27,2.95,2.95,2.98,2.91,2.78
,,,,,
2017 Oct 30 to Nov 3,2.94,2.84,2.68,2.68,2.75
2017 Nov 6 to Nov 10,3.01,3.07,3.16,3.18,3.17
2017 Nov 13 to Nov 17,3.13,3.06,3.16,3.09,3.04
2017 Nov 20 to Nov 24,3.04,3.05,3.05,3.05,3.05
2017 Nov 27 to Dec 1,2.88,2.88,3.06,3.06,2.84
,,,,,
2017 Dec 4 to Dec 8,2.91,2.86,2.86,2.81,2.78
2017 Dec 11 to Dec 15,2.81,2.87,2.87,2.69,2.60
2017 Dec 18 to Dec 22,2.71,2.75,2.72,2.64,2.63
2017 Dec 25 to Dec 29,,2.68,2.76,2.97,3.69
2018 Jan 1 to Jan 5,,6.24,6.24,4.65,NA
,,,,,
2018 Jan 8 to Jan 12,2.89,2.93,3.16,3.16,4.06
2018 Jan 15 to Jan 19,,5.46,3.92,3.92,3.20
2018 Jan 22 to Jan 26,3.13,3.35,3.54,3.54,3.58
2018 Jan 29 to Feb 2,3.60,3.60,3.34,3.06,2.91
2018 Feb 5 to Feb 9,2.85,2.75,2.74,2.74,2.66
,,,,,
2018 Feb 12 to Feb 16,2.60,2.58,2.53,2.49,2.49
2018 Feb 19 to Feb 23,,2.61,2.65,2.65,2.58
2018 Feb 26 to Mar 2,2.60,2.59,2.66,2.67,2.67
2018 Mar 5 to Mar 9,2.70,2.70,2.80,2.80,2.71
2018 Mar 12 to Mar 16,2.78,2.76,2.69,2.70,2.62
,,,,,
2018 Mar 19 to Mar 23,2.62,2.71,2.74,2.62,2.58
2018 Mar 26 to Mar 30,2.63,2.60,2.64,2.81,
2018 Apr 2 to Apr 6,2.75,2.75,2.81,2.81,2.81
2018 Apr 9 to Apr 13,2.78,2.78,2.74,2.76,2.82
2018 Apr 16 to Apr 20,2.88,2.84,2.85,2.80,2.78
,,,,,
2018 Apr 23 to Apr 27,2.78,2.79,2.81,2.81,2.82
2018 Apr 30 to May 4,2.75,2.75,2.77,2.75,2.75
2018 May 7 to May 11,2.74,2.77,2.75,2.78,2.75
2018 May 14 to May 18,2.84,2.83,2.85,2.75,2.75
2018 May 21 to May 25,2.77,2.76,2.89,2.88,2.88
,,,,,
2018 May 28 to Jun 1,,2.84,2.83,2.94,2.91
2018 Jun 4 to Jun 8,2.89,2.89,2.89,3.02,2.91
2018 Jun 11 to Jun 15,3.00,2.98,2.98,2.99,3.02
2018 Jun 18 to Jun 22,2.99,2.95,2.96,3.08,2.95
2018 Jun 25 to Jun 29,2.96,2.98,3.01,2.99,2.96
,,,,,
2018 Jul 2 to Jul 6,2.90,2.90,,2.91,2.91
2018 Jul 9 to Jul 13,2.90,2.90,2.89,2.89,2.86
2018 Jul 16 to Jul 20,2.76,2.81,2.80,2.75,2.79
2018 Jul 23 to Jul 27,2.79,2.73,2.82,2.82,2.78
2018 Jul 30 to Aug 3,2.75,2.82,2.80,2.77,2.86
,,,,,
2018 Aug 6 to Aug 10,2.85,2.95,2.99,3.02,2.96
2018 Aug 13 to Aug 17,2.92,3.02,3.02,3.02,3.01
2018 Aug 20 to Aug 24,3.04,3.01,3.02,3.01,2.99
2018 Aug 27 to Aug 31,2.98,2.98,2.96,2.96,2.98
2018 Sep 3 to Sep 7,,2.96,3.00,2.93,2.88
,,,,,
2018 Sep 10 to Sep 14,2.90,2.94,2.98,2.94,2.91
2018 Sep 17 to Sep 21,2.95,3.00,3.11,3.07,3.02
2018 Sep 24 to Sep 28,3.04,3.12,3.10,3.05,3.01
2018 Oct 1 to Oct 5,3.13,3.14,3.26,3.39,3.25
2018 Oct 8 to Oct 12,3.28,3.40,3.45,3.16,3.19
,,,,,
2018 Oct 15 to Oct 19,3.26,3.27,3.30,3.28,3.20
2018 Oct 22 to Oct 26,3.20,3.28,3.42,3.42,3.27
2018 Oct 29 to Nov 2,3.20,3.27,3.31,3.36,3.26
2018 Nov 5 to Nov 9,3.53,3.53,3.54,3.54,3.74
2018 Nov 12 to Nov 16,3.96,4.10,4.10,4.69,4.30
,,,,,
2018 Nov 19 to Nov 23,4.65,4.65,4.70,,
2018 Nov 26 to Nov 30,4.28,4.28,4.50,4.50,4.61
2018 Dec 3 to Dec 7,4.40,4.40,4.69,4.44,4.51
2018 Dec 10 to Dec 14,4.54,4.53,4.53,4.31,3.99
2018 Dec 17 to Dec 21,3.80,3.80,3.64,3.70,3.70
,,,,,
2018 Dec 24 to Dec 28,,,3.42,3.10,3.25
2018 Dec 31 to Jan 4,,,3.25,2.72,2.80
2019 Jan 7 to Jan 11,2.74,2.89,2.92,2.95,2.95
2019 Jan 14 to Jan 18,3.36,3.54,3.58,3.58,3.43
2019 Jan 21 to Jan 25,,3.43,3.13,3.13,3.07
,,,,,
2019 Jan 28 to Feb 1,3.05,2.94,3.00,2.82,2.70
2019 Feb 4 to Feb 8,2.57,2.54,2.58,2.62,2.66
2019 Feb 11 to Feb 15,2.76,2.71,2.61,2.61,2.59
